"","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100","sample101","sample102"
"AC104232.3",3.5,3,1.5,1,1.5,3.5,1.5,1.5,2,1.5,1,1,1.5,2,1.5,1,2,1,1,1,1.5,1,2.5,1,1.5,1.5,1,1,1,1.5,1.5,2,1,1,1.5,0.5,1.5,2,1,1.5,1.5,2.5,1.5,2,2,0.5,0.5,1,2.5,1,2
"AC104237.2",1,1,1,1,1,1,0.5,1.5,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1.5,1,1,2,0.5,1.5,1,2,1,2,0.5,1.5,2,1.5,1.5,1,1.5,1,1.5,1,1
"AC104237.3",1,1,1,1,1,1,0.5,1.5,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1.5,1,1,2,0.5,1.5,1,2,1,2,0.5,1.5,2,1.5,1.5,1,1.5,1,1.5,1,1
"AC104257.1",3,3,1.5,1.5,2.5,3.5,2,1.5,3,1.5,1,1,2.5,2,1.5,1,2,1,1,1,1.5,1,2.5,1.5,1.5,2,1.5,1,1,1.5,0.5,2,1,1,1.5,1.5,1.5,2,1,1.5,1.5,2.5,1.5,3.5,2,1,0.5,1.5,2.5,1,2.5
"AC104260.2",1.5,2,2,1,2,1,1,1,1,2,0.5,1,2,1.5,1,1,1,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1,1,2,1,1,1,0.5,1.5,2.5,1.5,1,1,1,1.5,1,2
"AC104389.5",1,1,1,1,1,1,0.5,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1.5,1,1,2,0.5,1.5,1,2,1,2,0.5,1.5,2,1.5,1.5,1,1.5,1,1.5,1,1
"AC104447.1",1,0.5,1,0.5,1,1.5,0.5,1.5,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,0.5,1,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1.5,1,1,0.5,1
"AC104472.4",3.5,1.5,2,1.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,2,3.5,3,3,2,1.5,0.5,1,2,2,2,1,2,3,2.5,2.5,1.5,3.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2.5,3,2,3,1.5,1.5,1,3.5,1.5,1.5
"AC104530.1",1,1,1.5,1,1,1.5,1,1,1.5,1.5,1,1,2,2,1,1,1.5,0.5,1,1,1,0.5,1,0.5,3,1,1,0.5,1,1.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,2,1.5,1.5,2,0.5,1,1,1,1,1
"AC104534.1",3.5,2,2.5,1.5,3,1.5,1,2.5,3.5,1.5,1,1,2,2,1,1,1.5,1.5,1,1,1.5,0.5,2,1,3,3.5,1,1.5,1,2.5,1.5,2,1.5,1.5,1,1.5,1,2,1,1.5,1,1,2.5,1.5,2.5,1,1,1,2,1,3.5
"AC104564.5",2,1.5,2,1,2,1.5,1,1.5,2,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,0.5,1.5,2,1.5,1,0.5,2,2.5,1.5,1.5,2.5,1,1.5,1,2,1,3,0.5,1,2,2.5,2,1,1,1,2,1,1
"AC104581.3",2,1.5,1,0.5,1,1.5,0.5,1,1,1,0.5,1,1.5,2,1,0.5,2,0.5,0.5,1,0.5,1,1.5,0.5,1.5,1,0.5,0.5,0.5,1.5,1,1.5,1.5,2,1,1,0.5,1,1,1,0.5,1,1.5,2.5,2,0.5,1,1,1,0.5,1
"AC104581.4",2,1.5,1,0.5,1,1.5,0.5,1,1,1,0.5,1,1.5,2,1,0.5,2,0.5,0.5,1,0.5,1,1.5,0.5,1.5,1,0.5,0.5,0.5,1.5,1,1.5,1.5,2,1,1,0.5,1,1,1,0.5,1,1.5,2.5,2,0.5,1,1,1,0.5,1
"AC104590.1",1.5,1.5,2,1,1.5,1,0.5,1,1.5,1.5,0.5,1,2,2,1,1,1.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1.5,1,2,1,1,0.5,1,1.5,2.5,1.5,1,1,1,1.5,1,1
"AC104596.1",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,1,2.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC104667.1",1,1.5,2,1,1,1,0.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,0.5,1,1,1,1,1,1.5,1.5,2,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,2.5,1.5,0.5,1,1,2,0.5,2
"AC104667.2",1,1.5,2,1,1,1,0.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,0.5,1,1,1,1,1,1.5,1.5,2,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,2.5,1.5,0.5,1,1,2,0.5,2
"AC104695.2",1.5,1.5,2,1.5,2,1.5,1,2,2,1,1,1,2.5,2,1,1,2,1,1,1,2,1,3,1.5,1.5,3,1.5,1,1,3,2,2,1,2.5,1,1.5,1,2,1,1.5,1.5,1.5,2.5,2.5,2,1,1,1.5,2,1,1.5
"AC104758.1",1.5,1.5,2,1,1.5,1,0.5,1,1,1.5,0.5,1,2,2,1,1,2.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,0.5,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,1.5
"AC104794.3",1,1.5,2,1.5,2,1.5,1,2,2,1,1,1,2.5,2,1,1,2,1,1,1,1,1,3,1.5,1.5,3,1.5,1,1,3,2,2,1,2.5,1,1.5,1,2,1,1.5,1.5,1.5,2.5,2.5,2,0.5,1,1.5,2,1,1.5
"AC104809.1",1,1.5,2,1,1,1,0.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,0.5,1,1,1,1,1,1.5,1.5,2,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,2.5,1.5,0.5,1,1,2,0.5,2
"AC104819.3",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,1,1.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,2,0.5,1
"AC104825.1",1,1,1,0.5,2,3,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1.5,3,0.5,1,1,1,0.5,0.5,1,1.5,2,0.5,1,0.5,1,1,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC104836.1",1,1.5,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,1,2,1,1,1,0.5,1,1,2,1,1.5,1,1,1,1,0.5,2,1,1,1,1.5,1.5,2,1.5,0.5,1,1,1.5,0.5,1
"AC104841.1",1,1.5,2,1,1,1,0.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,0.5,1,1,1,1,1,1.5,1.5,2,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,2.5,1.5,0.5,1,1,2,0.5,2
"AC104938.1",1.5,1.5,2,1,1.5,1,0.5,1,1.5,1.5,0.5,1,2,2,1,1,2.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1.5,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,1
"AC104984.1",2,1.5,2,1,2,1.5,1,1.5,2,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,0.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1,2,1,3,0.5,1,2,2.5,2,1,1,1,2,1,1
"AC104984.4",2,1.5,2,1,2,1.5,1,1.5,2,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,0.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1,2,1,3,0.5,1,2,2.5,2,1,1,1,2,1,1
"AC105001.1",0.5,1,1,1.5,1.5,1,0.5,1,1,1.5,1,1,1,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1.5,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,0.5,1,1,0.5,0.5,1,2.5,1,2
"AC105020.6",1.5,1.5,2,1,1.5,1,0.5,1,1,1.5,0.5,1,2,2,1,1,2.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1.5,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,2
"AC105046.1",0.5,1,1,1.5,1,1,0.5,1.5,1,1.5,1,1,1.5,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1.5,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,0.5,1,1,0.5,0.5,1,2.5,1,2
"AC105053.1",1.5,1.5,2,1.5,2,1.5,1,2,1.5,1,1,1,2.5,2,1,1,2,1,1,1,2,1,3,1,2,2,1.5,0.5,1,2.5,1.5,2,1,2.5,1,1.5,1,2,1,1.5,1,1.5,2.5,2.5,1.5,1,1,1.5,2,1,1.5
"AC105206.1",0.5,1,1,1.5,1,1,0.5,1.5,1,1.5,1,1,1.5,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1.5,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,0.5,1,1,0.5,0.5,1,2.5,1,2
"AC105206.2",0.5,1,1,1.5,1,1,0.5,1.5,1,1.5,1,1,1.5,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1.5,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,0.5,1,1,0.5,0.5,1,2.5,1,2
"AC105206.3",0.5,1,1,1.5,1,1,0.5,1.5,1,1.5,1,1,1.5,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1.5,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,0.5,1,1,0.5,0.5,1,2.5,1,2
"AC105219.3",3,3,1.5,1.5,2.5,3.5,2,1.5,3,1.5,1,1,2.5,2,1.5,1,2,1,1,1,1.5,1,2.5,1.5,1.5,1.5,1.5,1,1,1.5,1,2,1,1,1.5,2,1.5,2,1,2,1.5,2.5,1.5,3.5,2,1.5,0.5,1.5,2.5,1,2.5
"AC105285.1",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,1,0.5,1,0.5,1.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC105345.1",1,1,1,0.5,2,3,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1.5,3,0.5,1,1,1,0.5,0.5,1,1.5,2,0.5,1,0.5,1,1,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC105389.2",1,1,1,0.5,1,3,1,1.5,2,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1.5,3,0.5,1,1,1,0.5,0.5,1,1.5,2,0.5,1,0.5,1,0.5,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC105429.1",1,1,1.5,1,2,1.5,1,1,1,1.5,0.5,0.5,1.5,1,0.5,1,1,0.5,1,1,0.5,0.5,1.5,0.5,2,1,1,1,1,1.5,1,1.5,1,1,1,1.5,1,2,1,0.5,1,1,1,1.5,1.5,1,1,1,2.5,0.5,1
"AC105749.1",1,1.5,1,0.5,1,1.5,0.5,1.5,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,0.5,1,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1.5,1,1,0.5,1
"AC105914.2",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,1,0.5,1,0.5,1.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC105916.1",1,1,1,0.5,2,3,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1.5,3,0.5,1,1,1,0.5,0.5,1,1.5,2,0.5,1,0.5,1,1,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC105942.1",1,1.5,1,1,1,1.5,0.5,1.5,1.5,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1,1,2,1,1,1,0.5,1,1,2,1,1.5,1,1,1,1,0.5,2,1,1,1,1.5,1.5,2,1.5,0.5,1,1,2,0.5,1
"AC106028.3",1.5,1.5,2,1,2,1,1,1,1,1.5,0.5,1,2,2,1,1,2,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,2
"AC106738.1",1,1,1.5,1,2,1.5,1,1,1,1.5,0.5,1,1.5,2,1.5,1,1,1,1,1,0.5,0.5,1.5,1,2,1,1,1,1,1.5,1,1.5,1,1,1,0.5,1,1,1,0.5,1,3.5,1,1.5,1.5,1,1,1,2,0.5,1
"AC106786.1",1,1,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
"AC106791.1",2,1,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,1,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,2,1,1,0.5,1,1,1,0.5,1
"AC106791.3",2,1,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,1,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,2,1,1,0.5,1,1,1,0.5,1
"AC106795.1",2,1.5,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,2,1,1,0.5,1,1,1,0.5,1.5
"AC106795.2",2,1.5,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,2,1,1,0.5,1,1,1,0.5,1.5
"AC106818.2",1,1,1,1,1,1,0.5,1.5,1,0.5,0.5,2,1,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
"AC106820.3",1,1,2,1,1.5,1.5,1,1,1.5,1.5,1,1,1.5,2,0.5,1,1,1,1,1,1,0.5,1.5,1,2,1,0.5,1,1,1.5,1.5,1.5,0.5,1.5,1,1.5,1,2.5,1,1,1,1,1,3,1.5,1,1,1,2.5,1,0.5
"AC106820.4",1,1,2,1,1.5,1.5,1,1,1.5,1.5,1,1,1.5,2,0.5,1,1,1,1,1,1,0.5,1.5,1,2,1,0.5,1,1,1.5,1.5,1.5,0.5,1.5,1,1.5,1,2.5,1,1,1,1,1,3,1.5,1,1,1,2.5,1,0.5
"AC106845.1",0.5,1,1,1.5,0.5,1,0.5,1,1,1.5,1,1,1,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1.5,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,0.5,1,1,0.5,0.5,1,2.5,1,2
"AC106865.1",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,1,1.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC106897.1",1,1,1,1,1,1,1,1,1.5,1.5,1,0.5,1,1,1,0.5,1,0.5,0.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,3,1,0.5,0.5,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC107021.2",3.5,1.5,2,1.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,2,3.5,3,1.5,2,1.5,0.5,1,1.5,2,2,1,2,3,2,2.5,1.5,1.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2.5,3,2,3,1.5,1.5,1,2.5,1.5,1.5
"AC107032.1",1.5,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1,1,2,2,1,0.5,2,1,1,1,1,1,1.5,1,2,1.5,1,1,1,2.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,1.5,2,2,2,1,1,1,1.5,1,1
"AC107068.1",1,1,1,0.5,1.5,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1.5,3.5,0.5,1,1,1,1,0.5,1,1.5,2,0.5,1,0.5,1,0.5,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC107071.1",1,1,1,0.5,1.5,1.5,1,1,1.5,2.5,1,0.5,1,1.5,0.5,1.5,1,1,1,1,0.5,1,2,1,1,1,1,1,0.5,1,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC107075.1",1,1.5,2,1,2,1,1,1.5,1.5,1,1,1,2.5,1,1,1,2,1,1,1,1.5,1,2,1,2,2.5,1,1,1,1.5,1.5,2,1,1.5,1,1,1,2,1,1.5,1,1.5,3,2.5,1.5,1,1,1,2,1,1.5
"AC107081.3",1.5,1.5,2,1.5,2,1.5,1,2,1.5,1,1,3.5,2.5,2,1,1,2,1,3.5,1,2,1,3,1.5,2,3.5,1.5,2,1,2.5,2,2,1,2.5,1,1.5,1,2,1,3,1.5,1.5,2.5,2.5,1.5,1,1,1.5,2,1,2
"AC107214.1",1,1,1,1,1,1,1,1,1.5,1.5,1,0.5,1,1,1,0.5,1,0.5,0.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,3,1,0.5,0.5,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC107214.2",1,1,1,1,1,1,1,1,1.5,1.5,1,0.5,1,1,1,0.5,1,0.5,0.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,3,1,0.5,0.5,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC107222.1",1,1,1,1,1,1,1,1,1.5,1.5,1,0.5,1,1,1,0.5,1,0.5,0.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,3,1,0.5,0.5,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC107223.1",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,1,2.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC107385.2",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,1,1.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC107871.1",1.5,1.5,2,1,1.5,1,0.5,1,1.5,1.5,0.5,1,2,2,1,1,1.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1.5,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,1
"AC107884.1",1,1,1,1,1,1,0.5,1.5,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1.5,1,1,2,0.5,1.5,1,2,1,2,0.5,1.5,2,1.5,1.5,1,1.5,1,1.5,1,1
"AC107952.2",3.5,3,1.5,1,1.5,3.5,1,1.5,1.5,1.5,1,1,1.5,2,1.5,1,2,1,1,1,1.5,1,2.5,1,1.5,1.5,1,1,1,1.5,1.5,2,1,0.5,1.5,0.5,1.5,2,1,1.5,1.5,2,1.5,2,2,0.5,0.5,1,2.5,1,2
"AC107959.1",0.5,1,1,1.5,1,1,0.5,1.5,1,1.5,1,1,1.5,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1.5,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,0.5,1,1,0.5,0.5,1,2.5,1,2
"AC107959.3",0.5,1,1,1.5,1,1,0.5,1.5,1,1.5,1,1,1.5,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1.5,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,0.5,1,1,0.5,0.5,1,2.5,1,2
"AC108047.1",1,1.5,2,1,2.5,1,1,1.5,1.5,1,1,1,2.5,1,1,1,1,1,1,1,1.5,1,2,1.5,3,1,1,2,1,1.5,1.5,2,1,1.5,1,1,1,2,1,1.5,1,1.5,3,2.5,1.5,1,1,1,2,1,1.5
"AC108053.1",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,1,2.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC108058.1",1,1.5,2,1,1.5,1.5,1,1.5,1.5,1,1,1,2.5,2,1,1,2,1,1,1,1.5,1,2,1,2,2,2,1,1,2.5,1.5,2,1,2,1,0.5,1,2,1,1.5,1,1.5,2.5,2.5,1.5,1,1,1.5,2,1,1.5
"AC108134.2",1,1,2,1,0.5,1.5,1,1,1,1.5,1,1,1.5,2,0.5,1,1,1,1,1,1,0.5,1.5,1,2,1,0.5,1,1,1.5,1.5,1.5,0.5,1.5,1,1.5,1,2.5,1,1,1,1,1,3,1.5,1,1,1,1,1,0.5
"AC108134.3",1,1,2,1,0.5,1.5,1,1,1,1.5,1,1,1.5,2,0.5,1,1,1,1,1,1,0.5,1.5,1,2,1,0.5,1,1,1.5,1.5,1.5,0.5,1.5,1,1.5,1,2.5,1,1,1,1,1,3,1.5,1,1,1,1,1,0.5
"AC108134.4",1,1,2,1,0.5,1.5,1,1,1,1.5,1,1,1.5,2,0.5,1,1,1,1,1,1,0.5,1.5,1,2,1,0.5,1,1,1.5,1.5,1.5,0.5,1.5,1,1.5,1,2.5,1,1,1,1,1,3,1.5,1,1,1,1,1,0.5
"AC108215.1",1,1,1,1,1.5,3,1,1.5,2,2,1,1,1,2,1,1,1,1,0.5,1,0.5,1,3.5,1,1,1,1,1,0.5,1,1,2,2.5,1,0.5,1,1,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC108448.3",1,1,1,1,1,1,0.5,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1.5,1,1,2,0.5,1.5,1,2,1,2,0.5,1.5,1.5,1.5,1.5,1,1.5,1,1.5,1,1
"AC108449.2",0.5,2,1,1.5,1,1,0.5,1.5,1,1.5,1,1,1.5,1.5,1.5,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,2,0.5,0.5,0.5,1,1,1,1,1,1.5,1,0.5,0.5,1,1,0.5,0.5,1.5,1.5,1,1,0.5,0.5,1,2.5,1,2
"AC108471.2",1,1,1,0.5,1,3,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1.5,3,0.5,1,1,1,0.5,0.5,1,1.5,2,0.5,1,0.5,1,0.5,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AC108488.3",1,1.5,2,2,2,1.5,0.5,2,2,1.5,1,1,2.5,2,1,1,2,1,1,1,1,1,3,1.5,1.5,3,1.5,1,1,3,2,2,1,2.5,1,1.5,1,2,1,1.5,1.5,1.5,2.5,2.5,2,0.5,1,1.5,2,1,1.5
"AC108673.2",2,1.5,2,1.5,2,1.5,1.5,2,1.5,1.5,1.5,1,2,3.5,1,1.5,2,1.5,0.5,1,2,2,2,1,2,3,2,1,1.5,1.5,3,3,1,3,1.5,2.5,1.5,3.5,1,2.5,1,2,3,2,3,1.5,1.5,1,1,1,1.5
"AC108673.3",2,1.5,2,1.5,2,1.5,1.5,2,1.5,1.5,1.5,1,2,3.5,1,1.5,2,1.5,0.5,1,2,2,2,1,2,3,2,1,1.5,1.5,3,3,1,3,1.5,2.5,1.5,3.5,1,2.5,1,2,3,2,3,1.5,1.5,1,1,1,1.5
"AC108681.1",3.5,1.5,2,3.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,3.5,3.5,3,3,2,1.5,1.5,1,2,2,2,3.5,3.5,3.5,1.5,2,1.5,3.5,3,2.5,1.5,3.5,1.5,2.5,1.5,3.5,1,2.5,2,2.5,3.5,2,3.5,1.5,1.5,1,3.5,2,1.5
"AC108704.2",1.5,2,1.5,1,1.5,1,1,1.5,2,1.5,1,1,2,2,1,1,1.5,1,1,1,1,1,1.5,1,2,1.5,1,1,1,2.5,1.5,2,1.5,1.5,0.5,1,1,2,1,1.5,1,1.5,1.5,1,2,0.5,1,1,2,1,1
"AC108860.2",2,3,1.5,1,2.5,3.5,1.5,1.5,2,1.5,1,1,2.5,2,1.5,1,2,1,1,1,1.5,1,2.5,1,1.5,1.5,1.5,1,1,1.5,2.5,2,1,1,1.5,1.5,1.5,2,1,1.5,1.5,2.5,1.5,2,2,1,0.5,1,2.5,1,2
"AC109322.1",3,3,1.5,1.5,2.5,3.5,2,1.5,3,1.5,1,1,2.5,2,1.5,1,2,1,1,1,1.5,1,2.5,1.5,1.5,1.5,1.5,1,1,1.5,1,2,1,1,1.5,2,1.5,2,1,2,1.5,2.5,1.5,3.5,2,1.5,0.5,1.5,2.5,1,2.5
"AC109322.2",3,3,1.5,1.5,2.5,3.5,2,1.5,3,1.5,1,1,2.5,2,1.5,1,2,1,1,1,1.5,1,2.5,1.5,1.5,1.5,1.5,1,1,1.5,1,2,1,1,1.5,2,1.5,2,1,2,1.5,2.5,1.5,3.5,2,1.5,0.5,1.5,2.5,1,2.5
